product_no,product_name,ingredients,category
135,Alka Elephant Domates Burgu Kraker,"Buğday Unu, Bitkisel Yağlar (kanola, Ayçiçek -değişen Miktarlarda, Şeker, Arpa Maltı Ekstraktı, Domates tozu(%3, 8, Tam Buğday Unu, Kahverengi Şeker, Buğday Ekşi Mayası, Deniz Tuzu, Frenk kimyonu(%0, 8, Keklikotu, Fesleğen, Biberiye, Maya, Maya Ekstrakt",Atıştırmalık
136,Alka Elephant Domatesli Otlu Kraker,"Buğday Unu, Bitkisel Yağlar (değişen Miktarlarda Kanola Ve Ayçiçek, 6 Domatesli Ve Otlu Çeşni [maltodekstrin (mısır Ve Buğday Kaynaklı, 1, 1 Domates Tozu, Dekstroz (mısır Kaynaklı, Şeker, Tuz, Soğan Tozu, 0, 3 Maydanoz, 0, 2 Fesleğen",Atıştırmalık
137,Alka Elephant Karamelize Soğanlı Burgu Kraker,"Buğday Unu, Bitkisel Yağlar(kanola, Ayçiçek-değişen Miktarlarda, Şeker, Arpa Maltı Ekstraktı, Tam Buğday Unu, Kurutulmuş Karamelize Soğan (%3, Çavdar Ekşi Mayası, Kahverengi Şeker, Deniz Tuzu, Maya, Maya Ekstraktı, Kurutulmuş Sarımsak, Antioksidan",Atıştırmalık
138,Alo Kar Çiçeği Ferahlğı Beyazlar Ve Renkliler Aquapudra Toz Deterjan,,"Temizlik, Deterjan"
139,Alo Platinum Ace Etkili Çamaşır Deterjanı,,"Temizlik, Deterjan"
140,Alo Toz Çamaşır Deterjanı Beyazlar ve Renkliler İçin,,"Temizlik, Deterjan"
141,Alpimilk Çikolatalı Portakallı Süt,"İnek Sütü, Şeker, Çikolata (%1, 5) (fındık Içerir, Kakao Tozu, Kıvam Arttırıcı (jellan Gam, Aroma Verici (portakal",Süt Ürünleri
142,Alpimilk Çikolatalı Süt,,Süt Ürünleri
143,Alpimilk Çikolatalı Süt,"İnek Sütü, Şeker, Çikolata (%1, 5) (fındık Içerir, Kakao Tozu, Kıvam Arttırıcı (jellan Gam, Muz Sosu (%0, 1, Aroma Verici",Süt Ürünleri
144,Alpmilk Çikolata Aromalı Süt,"İnek Sütü, Şeker, Çikolata (%1, 5) (fındık Içerir, Kakao Tozu, Kıvam Arttırıcı (gellan Gam, Aroma Verici̇",Süt Ürünleri
145,Alpro Badem Sütü,"Su, Badem (2, 3, Şeker, Trikalsiyum Fosfat, Deniz Tuzu, Stabilizörler (keçiboynuzu Gamı, Jellan Gam, Emülgatör (lesitinler (ayçiçeği, Aroma Verici, Vitaminler (B2, Riboflavin, B12 [siyanokobalamin, E [dl-alfa-tokoferil Asetat",Süt Ürünleri
146,Alpro Badem Sütü,"SU, ŞEKER, BADEM(%2, 3, TRİKALSİYUM FOSFAT, DENİZ TUZU, STABİLİZÖRLER (KEÇİBOYNUZU GAMI, JELLAN GAM, EMÜLGATÖRLER(AYÇİÇEK LESİTİNİ, VİTAMİNLER(B2, B12, E, D",Süt Ürünleri
